#TYPE Selected.Microsoft.DnsClient.Commands.DnsRecord_A
"Name","IP_1","IP_2","IP_3","IP_4","IP_5","IP_6","IP_7","IP_8","IP_9","IP_10"
"jtsappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jrfurniture.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jwkitchens.com","52.2.161.18","54.175.34.93","","","","","","","",""
"kamloopsbrandsource.ca","52.2.161.18","54.175.34.93","","","","","","","",""
"kaiserappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"kaappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"idlershome.com","52.2.161.18","54.175.34.93","","","","","","","",""
"idealmattressfurnitureva.com","15.197.142.173","3.33.152.147","","","","","","","",""
"idealfurnitureofnorthtexas.com","52.2.161.18","54.175.34.93","","","","","","","",""
"ihomefurniture.com","52.2.161.18","54.175.34.93","","","","","","","",""
"interstatekitchensupply.com","52.2.161.18","54.175.34.93","","","","","","","",""
"integritysound.com","52.2.161.18","54.175.34.93","","","","","","","",""
"inspiredinteriorswhitehorse.ca","52.2.161.18","54.175.34.93","","","","","","","",""
"iconic.systems","15.197.221.21","3.33.228.28","","","","","","","",""
"icav.us","52.2.161.18","54.175.34.93","","","","","","","",""
"hutchshome.com","52.2.161.18","54.175.34.93","","","","","","","",""
"idealbenton.com","52.2.161.18","54.175.34.93","","","","","","","",""
"idealfurnituregalleriesinc.com","52.2.161.18","54.175.34.93","","","","","","","",""
"idealfurniturega.com","52.2.161.18","54.175.34.93","","","","","","","",""
"idealfurnituredanbury.com","52.2.161.18","54.175.34.93","","","","","","","",""
"iq-av.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jeffshomeappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jeffersmcgill.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jeanniestv.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jensenakins.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jimsappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jimmyshomefurnishings.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jeromesappliancegalleryinc.ca","52.2.161.18","54.175.34.93","","","","","","","",""
"jarons.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jacksonappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"irtechav.com","15.197.221.21","3.33.228.28","","","","","","","",""
"javiershomeappliance.com","15.197.221.21","3.33.228.28","","","","","","","",""
"jbwyo.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jaysfurniturebarn.com","52.2.161.18","54.175.34.93","","","","","","","",""
"jayhawktv.net","52.2.161.18","54.175.34.93","","","","","","","",""
"lhbrubakerappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"letzsappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"leonardiappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"liaisontechgroup.com","15.197.221.21","3.33.228.28","","","","","","","",""
"lincolnlectronics.com","52.2.161.18","54.175.34.93","","","","","","","",""
"liddiardhf.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lichtisinc.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lavertyshomefurnishings.com","15.197.221.21","3.33.228.28","","","","","","","",""
"largentsappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lappgasappliancellc.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lawlessandsmithtruevalue.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lenoirtireandappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"legacyappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lbsmarthome.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lindstromstvandappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lueckeaudiovideo.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lowersappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lovinsfurniture.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lundquistfurniture.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lylestv.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lylesmaytag.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lvsofafactory.com","52.2.161.18","54.175.34.93","","","","","","","",""
"lmtvappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"l-lfurniture.com","52.2.161.18","54.175.34.93","","","","","","","",""
"livingoodsonline.com","52.2.161.18","54.175.34.93","","","","","","","",""
"logansappliancecenter.com","52.2.161.18","54.175.34.93","","","","","","","",""
"louisasweb.com","52.2.161.18","54.175.34.93","","","","","","","",""
"longeneckersappliances.com","52.2.161.18","54.175.34.93","","","","","","","",""
"logelappliance.com","52.2.161.18","54.175.34.93","","","","","","","",""
"knoxfurniture4u.com","52.2.161.18","54.175.34.93","","","","","","","",""
"knowleshomefurnishings.com","52.2.161.18","54.175.34.93","","","","","","","",""
"kleinsbrandsource.com","52.2.161.18","54.175.34.93","","","","","","","",""
"kollmanappliance.net","52.2.161.18","54.175.34.93","","","","","","","",""
"kubins.com","52.2.161.18","54.175.34.93","","","","","","","",""
"krusetruevalue.com","52.2.161.18","54.175.34.93","","","","","","","",""
"kondolas.ca","52.2.161.18","54.175.34.93","","","","","","","",""
