avbid,store_code,name,locale,url
cn0106,cn0106,Bears Furniture & Appliances Store View - cn0106,en_CA,https://www.bearsbrandsource.ca/
cn0108,cn0108,Harris BrandSource Store View - cn0108,en_CA,https://www.harrisbrandsource.ca/
cn0111,cn0111,Five Star Trading Post Store View - cn0111,en_CA,https://www.5starcoldlake.ca/
cn0122,cn0122,Midland Appliance Ltd. Store View - cn0122,en_CA,https://www.midlandappliance.com/
cn0126,cn0126,Downtown Appliance & Furnishings Store View - cn0126,en_CA,https://www.downtownappliances.ca/
cn0127,cn0127,Gander Appliance & Furniture Store View - cn0127,en_CA,https://www.ganderappliances.com/
cn0128,cn0128,Ashland Furniture Store View - cn0128,en_CA,https://www.ashlandfurniture.ca/
cn0129,cn0129,Blue Barn Furnishings Store View - cn0129,en_CA,https://cn0129-staging.avbmarketing.com/
cn0130,cn0130,Budget Appliances Store View - cn0130,en_CA,https://cn0130-staging.avbmarketing.com/
cn0131,cn0131,Bush Furniture Store View - cn0131,en_CA,https://www.bushfurniture.ca/
cn0132,cn0132,Castle Mountain Home Furnishings Store View - cn0132,en_CA,https://www.furnishcanmore.com/
cn0133,cn0133,Crown Furniture & Mattress Store View - cn0133,en_CA,https://www.crownsfurnituremattresses.com/
cn0135,cn0135,Home Goods Furniture Store View - cn0135,en_CA,https://www.homegoodsfurniture.com/
cn0136,cn0136,Audio Video Plus Home Furnishings Store View - cn0136,en_CA,https://www.audiovideoplus.ca/
cn0137,cn0137,Furniture Gallery Store View - cn0137,en_CA,https://www.furnituregallery.ca/
cn0138,cn0138,Canyon Street Furniture Store View - cn0138,en_CA,https://www.canyonstreetfurniture.ca/
cn0139,cn0139,Cox Electronics Store View - cn0139,en_CA,https://www.coxnb.ca/
cn0140,cn0140,Nationwide Furniture Mattress Outlet Store View - cn0140,en_CA,https://www.furnituremattress.ca/
cn0141,cn0141,Old McDonald's Furniture & Appliances Store View - cn0141,en_CA,https://www.oldmcdonalds.ca/
cn0142,cn0142,Timothy Fred's Furniture Store View - cn0142,en_CA,https://www.timothyfreds.com/
cn0143,cn0143,Tom & Al's Quality Home Furnishings Store View - cn0143,en_CA,https://www.tomandalsfurniture.com/
cn0144,cn0144,Worrall's Furniture Store View - cn0144,en_CA,https://www.worrallsfurniture.com/
cn0148,cn0148,Meubles Bernard Tanguay Store View - cn0148,fr_CA,https://www.meublesbernardtanguay.com/
protest2,protest2,Pro Test 2 Site Store View - French - protest2,fr_CA,https://pro2.brandsource.com/
cn0153,cn0153,Reid's Furniture Store View - cn0153,en_CA,https://www.reids.furniture/
cn0154,cn0154,Maple Appliance Direct Store View - English - cn0154,en_CA,https://www.mapleappliancedirect.ca/
cn0156,cn0156,North Appliances Store View - cn0156,en_CA,https://www.northappliances.ca/
megatheme,megatheme,Demo Site - Canada Mega Theme Store View - English - megatheme,en_CA,https://megatheme-canada.avbmarketing.com/
cn0158,cn0158,Kondola's Furniture Store View - cn0158,en_CA,https://www.kondolas.ca/
cn0152,cn0152,Sisters Sleep Gallery & Stereo Warehouse Store View - cn0152,en_CA,https://www.sisterskamloops.ca/
cn0157,cn0157,ElectraFix Appliance Gallery Store View - cn0157,en_CA,https://www.electrafixappliancesgallery.ca/
cn0161,cn0161,Smitty's Fine Furniture Store View - cn0161,en_CA,https://www.smittysfurniture.com/
cn0164,cn0164,Ameublement Brandsource Parenteau Store View - French - cn0164,fr_CA,https://www.brandsourceparenteau.ca/
cn0163,cn0163,Ameublement Lucien Malaket Store View - French - cn0163 ,fr_CA,https://www.malaket.com/
cn0162,cn0162,Meubles & Moi Store View - French - cn0162,fr_CA,https://www.meublesetmoi.ca/
canada_franchise2,canada_franchise2,BrandSource Canada Store View 2 - canada_franchise2,fr_CA,https://canada-fr-franchise.avbmarketing.com/
cn0160,cn0160,Hometown Furniture Store View - cn0160,en_CA,https://www.hometownfurniturecanada.ca/
cn0070,cn0070,Pearls Furniture & Mattress Store View - cn0070,en_CA,https://www.pearlsfurniture.ca/
cn0159,cn0159,KAP FURNITURE Store View - English - cn0159,en_CA,https://www.kapfurniture.ca/
cn0056,cn0056,Laverty's Home Furnishings Store View - cn0056,en_CA,https://www.lavertyshomefurnishings.com/
cn0169,cn0169,Essex Home Furnishings Store View - cn0169,en_CA,https://www.ehfstyle.com/
cn0168,cn0168,Spadoni's Furniture Store View - cn0168,en_CA,https://www.spadonis.com/
h0046,h0046,Chavis Furniture Store View - h0046,en_US,https://www.chavisfurniture.com/
cn0166,cn0166,Gould’s Home Furnishings Store View - cn0166,en_CA,https://www.gouldsbrandsource.ca/
gbou1,gbou1_kiosk,Boulevard Home Furnishings Store View Kiosq - gbou1_kiosk,en_US,https://gbou1-kiosk-staging.avbmarketing.com/
jfre2_1,jfre2_2,Quality Auto Sound View - jfre2_2,en_US,https://www.qualityautosound.com/
tneagr1,tneagr1_kiosk,Agren Appliance Store View Kiosq - tneagr1_kiosk,en_US,https://tneagr1-kiosk-staging.avbmarketing.com/
ashley360,ashley180,Demo Site - Ashley 180 Store View - ashley180,en_US,https://ashley180.avbmarketing.com/
jhoe1,jhoe1_kiosk,Hoelscher's Store View Kiosq - jhoe1_kiosk,en_US,https://kiosq.hoelschersonline.com/
